AAA         void                    [       37                 ]
AAD         void                    [       d5 0a              ]
AAD         imm                     [i-:    d5 ib,u            ]
AAM         void                    [       d4 0a              ]
AAM         imm                     [i-:    d4 ib,u            ]
AAS         void                    [       3f                 ]
ADC         mem,reg8                [mr:    10 /r              ]
ADC         reg8,reg8               [mr:    10 /r              ]
ADC         mem,reg16               [mr:    o16 11 /r          ]
ADC         reg16,reg16             [mr:    o16 11 /r          ]
ADC         reg8,mem                [rm:    12 /r              ]
ADC         reg8,reg8               [rm:    12 /r              ]
ADC         reg16,mem               [rm:    o16 13 /r          ]
ADC         reg16,reg16             [rm:    o16 13 /r          ]
ADC         rm16,imm8               [mi:    o16 83 /2 ib,s     ]
ADC         reg_al,imm              [-i:    14 ib              ]
ADC         reg_ax,sbyteword        [mi:    o16 83 /2 ib,s     ]
ADC         reg_ax,imm              [-i:    o16 15 iw          ]
ADC         rm8,imm                 [mi:    80 /2 ib           ]
ADC         rm16,sbyteword          [mi:    o16 83 /2 ib,s     ]
ADC         rm16,imm                [mi:    o16 81 /2 iw       ]
ADC         mem,imm8                [mi:    80 /2 ib           ]
ADC         mem,sbyteword16         [mi:    o16 83 /2 ib,s     ]
ADC         mem,imm16               [mi:    o16 81 /2 iw       ]
ADC         rm8,imm                 [mi:    82 /2 ib           ]
ADD         mem,reg8                [mr:    00 /r              ]
ADD         reg8,reg8               [mr:    00 /r              ]
ADD         mem,reg16               [mr:    o16 01 /r          ]
ADD         reg16,reg16             [mr:    o16 01 /r          ]
ADD         reg8,mem                [rm:    02 /r              ]
ADD         reg8,reg8               [rm:    02 /r              ]
ADD         reg16,mem               [rm:    o16 03 /r          ]
ADD         reg16,reg16             [rm:    o16 03 /r          ]
ADD         rm16,imm8               [mi:    o16 83 /0 ib,s     ]
ADD         reg_al,imm              [-i:    04 ib              ]
ADD         reg_ax,sbyteword        [mi:    o16 83 /0 ib,s     ]
ADD         reg_ax,imm              [-i:    o16 05 iw          ]
ADD         rm8,imm                 [mi:    80 /0 ib           ]
ADD         rm16,sbyteword          [mi:    o16 83 /0 ib,s     ]
ADD         rm16,imm                [mi:    o16 81 /0 iw       ]
ADD         mem,imm8                [mi:    80 /0 ib           ]
ADD         mem,sbyteword16         [mi:    o16 83 /0 ib,s     ]
ADD         mem,imm16               [mi:    o16 81 /0 iw       ]
ADD         rm8,imm                 [mi:    82 /0 ib           ]
AND         mem,reg8                [mr:    20 /r              ]
AND         reg8,reg8               [mr:    20 /r              ]
AND         mem,reg16               [mr:    o16 21 /r          ]
AND         reg16,reg16             [mr:    o16 21 /r          ]
AND         reg8,mem                [rm:    22 /r              ]
AND         reg8,reg8               [rm:    22 /r              ]
AND         reg16,mem               [rm:    o16 23 /r          ]
AND         reg16,reg16             [rm:    o16 23 /r          ]
AND         rm16,imm8               [mi:    o16 83 /4 ib,s     ]
AND         reg_al,imm              [-i:    24 ib              ]
AND         reg_ax,sbyteword        [mi:    o16 83 /4 ib,s     ]
AND         reg_ax,imm              [-i:    o16 25 iw          ]
AND         rm8,imm                 [mi:    80 /4 ib           ]
AND         rm16,sbyteword          [mi:    o16 83 /4 ib,s     ]
AND         rm16,imm                [mi:    o16 81 /4 iw       ]
AND         mem,imm8                [mi:    80 /4 ib           ]
AND         mem,sbyteword16         [mi:    o16 83 /4 ib,s     ]
AND         mem,imm16               [mi:    o16 81 /4 iw       ]
AND         rm8,imm                 [mi:    82 /4 ib           ]
CALL        imm                     [i-:    odf e8 rel         ]
CALL        imm|near                [i-:    odf e8 rel         ]
CALL        imm|far                 [i-:    odf 9a iwd seg     ]
CALL        imm16                   [i-:    o16 e8 rel         ]
CALL        imm16|near              [i-:    o16 e8 rel         ]
CALL        imm16|far               [i-:    o16 9a iwd seg     ]
CALL        imm:imm                 [ji:    odf 9a iwd iw      ]
CALL        imm16:imm               [ji:    o16 9a iw iw       ]
CALL        imm:imm16               [ji:    o16 9a iw iw       ]
